プラットフォーム等コード,プラットフォーム名等
JJP305,CEREL TOKYO
JJP306,REGINA
JJP307,HANEULMODE
JJP308,FAVORITESELECT
JJP309,SELCA
JJP310,EBINE.ACCESSORY
JJP311,LUNOA BY LUDRA
JJP312,HARE BIRTH
JJP313,NAVI
JJP314,LANTEN.
JJP315,LEMARCHAN50.
JJP316,NUEXA
JJP317,MILONNE
JJP318,MOBU
JJP319,PARTY DRESS EMILE
JJP320,MOGU
JJP321,MILKY GREEK
JJP322,RANGIE
JJP323,COMME DES GARCONS
JJP324,CONCEPT7
JJP325,FREEDOM FACTORY
JKR001,OLENS
JKR002,GLOVEWORKS 
JKR003,TONYMOLY
JKR004,PHOTOISMSHOP
JKR005,MARGESHERWOOD
JKR006,11AM
JKR007,66GIRLS
JKR008,AWAB
JKR009,BAON
JKR010,BLUEPOPS
JKR011,BULLANG GIRLS
JKR012,DOROSIWA
JKR013,ESLENA
JKR014,FANSLIKE
JKR015,FROMBEGINNING
JKR016,FROMHEADTOTOE
JKR017,KABANER
JKR018,KCLUB
JKR019,LAGIRL
JKR020,LOVEANDPOP
JKR021,MATEYOON
JKR022,MNEM
JKR023,OVERDUEFLAIR
JKR024,POPOKII
JKR025,PENACOVA
JKR026,THREETIMES
JKR027,THEVERLIN
JKR028,MITUNOLENS
JKR029,RELX
JKR030,DEAR DILLY
JKR031,BIGC
JKR032,MWAVE
JKR033,MY MUSIC TASTE
JKR034,HENU JAPAN/SHOPIFY
JKR035,K-STORE/CAFE24
JKR036,XODIARK/CAFE24
JKR037,YES 24
JKR038,MUAE
JKR039,ENPRANI
JKR040,MINI RECORD
JKR041,AMUSE
JKR042,FOURCOMPANY JP
JKR043,WCONCEPT KOREA
JKR044,BEAUTYOFJOSEON
JKR045,ADER ERROR
JKR046,"ABSORBLAB CO., LTD."
JKR047,LIILY
JKR048,COLN
JKR049,BIBICON.NET
JKR050,TOLCORE
JKR051,I-LENS
JKR052,DESIGN SKIN
JKR053,YESEYESEE.COM
JKR054,COMICLAND
JKR055,THISISNEVERTHAT
JKR056,KHAKIS
JKR057,SUNLOVE
JKR058,LOADINGROOM
JKR059,GGSTORE.COM
JKR060,KONNY
JKR061,BUDHI MUDRA JAPAN
JKR062,NUGU
JKR063,ASCLO JAPAN
JKR064,HOLY IN CODE
JKR065,SHOPPERLAN:D
JKR066,HAVEHAD
JKR067,TOTO&ROY
JKR068,VT COSMETICS
JKR069,FIED WORLD
JKR070,GLOWISHERE
JKR071,KUME JAPAN.COM
JKR072,GDS.
JKR073,POCAMARKET
JKR074,VEASLY
JKR075,FANS
JKR076,GOOSEKET
JKR077,NUMBERING
JKR078,"ARCHIVEPKE			"
JKR079,APRICOTSTUDIOS
JKR080,GENGSHOP
JKR081,TIGERNATION SHOP
JKR082,HOLICHOLIC
JKR083,DAILY&CO
JKR084,DOTINK JAPAN OFFICIAL STORE
JKR085,MERRY FRIDAY
JKR086,ZAENIO
JKR087,THUGCLUB
JKR088,ROMAN MOOD
JKR089,MARPPLE.COM
JKR090,MARPPLE.SHOP
JKR091,FILLINTHEBLANK
JKR092,VERDALTO.COM
JKR093,NOUARTE
JKR094,AEPSA OFFICIAL STORE
JKR095,USS2
JKR096,AUBEREVE
JKR097,BCAESAR-SHOP
JKW001,FABRIC OF SOCIETY COMPANY
JLT001,HAUTICA
JLT002,BURGA
JLV001,AZERON
JLV002,MADARA COSMETICS
JMA001,BACHA COFFEE
JMC001,APMMONACO
JMC002,MDC MONACO
JMY001,CY TWO THOUSAND MARKETING
JMY002,TITAN STAR RESOURCES SDN BHD
JMY003,TASCO BERHAD
JMY004,YOUNG LIVING ESSENTIAL OILS
JNL001,BURTON 2CV PARTS
JNL002,CARLIJNQ
JNL003,RITUALS COSMETICS ENTERPRISE
JNL004,MWS B.V.
JNL005,ERG MEDIA B.V.
JNL006,WA NETHERLANDS B.V
JNL007,VAN DEN BAN
JNL008,MAIN STORY
JNL009,PARACORD.EU
JNL010,VERSTAPPEN.COM
JNL011,GOSOAKY
JNL012,MARJOLEIN DELHAAS
JNL013,RUSH HOUR
JNL014,SONIC RENDEZ VOUS
JNL015,SPROET&SPROUT
JNO001,REMARKABLE
JNO002,SCANDI CANDY
JNO003,TIM WENDELBOE AS
JNZ001,AG1 NEW ZEALAND LTD
JNZ002,GOODLIDS
JNZ003,VELOBIKE INNOVATION LIMITED
JNZ004,MITOQ LIMITED
JNZ005,MOREPORKS
JNZ006,XPANDSTORE.COM
JNZ007,CUTEHART.COM
JNZ008,BEAUTY MONSTER
JPK001,LAAM PVT LTD
JPL001,GATE
JPL002,GOODY WOODY
JPL003,ARWENA ON-LINE
JPL004,VITKAC.COM
JPL005,WHITEOAK HANDBOARDS
JPT001,POETIC HARMONY
JPT002,FPF PORTUGAL STORE
JRU001,SV LLC
JSE001,OUR LEGACY
JSE002,MARSHALL
JSE003,MYRKL
JSE005,MINI RODINI
JSE006,VIS (SHANGHAI) TECHNOLOGY LIMITED
JSE007,NA-KD
JSE008,STICKERAPP
JSE009,NUDIENT
JSG001,SHEIN
JSG002,BEYOND THE VINES
JSG003,TWG TEA
JSG004,TAO
